signature_id	signature_name	gene	species	cell_family	context	disease	tags
CELL.PanglaoDB2020.mouse.Lungs.Alveolar.macrophages	Lungs.Alveolar.macrophages	Siglecf	mouse	macrophage	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Alveolar.macrophages	Lungs.Alveolar.macrophages	Wfdc21	mouse	macrophage	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Ciliated.cells	Lungs.Ciliated.cells	Ces1d	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Ciliated.cells	Lungs.Ciliated.cells	Dynlt1c	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Ciliated.cells	Lungs.Ciliated.cells	Fam177a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Clara.cells	Lungs.Clara.cells	Cyp2b10	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Clara.cells	Lungs.Clara.cells	Cyp2f2	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Ionocytes	Lungs.Ionocytes	Cyp2f2	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.I.cells	Lungs.Pulmonary.alveolar.type.I.cells	Cyp2b10	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.I.cells	Lungs.Pulmonary.alveolar.type.I.cells	Gramd2	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	Cbr2	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	Cd59a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	Cxcl15	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	H2-q6	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	Ly6i	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	Lyz1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	Scd1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	Lungs.Pulmonary.alveolar.type.II.cells	Wfdc17	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Lungs
CELL.PanglaoDB2020.mouse.Mammary.gland.Mammary.epithelial.cells	Mammary.gland.Mammary.epithelial.cells	Csn1s2a	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Mammary.gland
CELL.PanglaoDB2020.mouse.Mammary.gland.Mammary.epithelial.cells	Mammary.gland.Mammary.epithelial.cells	Wap	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Mammary.gland
CELL.PanglaoDB2020.mouse.Mammary.gland.Mammary.epithelial.cells	Mammary.gland.Mammary.epithelial.cells	Wfdc18	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Mammary.gland
CELL.PanglaoDB2020.mouse.Olfactory.system.Olfactory.epithelial.cells	Olfactory.system.Olfactory.epithelial.cells	Ccpg1os	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Olfactory.system
CELL.PanglaoDB2020.mouse.Olfactory.system.Olfactory.epithelial.cells	Olfactory.system.Olfactory.epithelial.cells	Ckmt1	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Olfactory.system
CELL.PanglaoDB2020.mouse.Olfactory.system.Olfactory.epithelial.cells	Olfactory.system.Olfactory.epithelial.cells	Dcdc2a	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Olfactory.system
CELL.PanglaoDB2020.mouse.Olfactory.system.Olfactory.epithelial.cells	Olfactory.system.Olfactory.epithelial.cells	Sult1d1	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Olfactory.system
CELL.PanglaoDB2020.mouse.Olfactory.system.Olfactory.epithelial.cells	Olfactory.system.Olfactory.epithelial.cells	Tmem74bos	mouse	epithelial	physiology	unknown	PanglaoDB;marker_gene_set;Olfactory.system
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	Oral.cavity.Salivary.mucous.cells	Car6	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Oral.cavity
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	Oral.cavity.Salivary.mucous.cells	Mucl2	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Oral.cavity
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	Oral.cavity.Salivary.mucous.cells	Prol1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Oral.cavity
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	Oral.cavity.Salivary.mucous.cells	Scgb1b27	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Oral.cavity
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	Oral.cavity.Salivary.mucous.cells	Scgb2b26	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Oral.cavity
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	Oral.cavity.Salivary.mucous.cells	Scgb2b27	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Oral.cavity
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	Oral.cavity.Salivary.mucous.cells	Smgc	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Oral.cavity
CELL.PanglaoDB2020.mouse.Pancreas.Acinar.cells	Pancreas.Acinar.cells	Amy2a2	mouse	acinar	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Acinar.cells	Pancreas.Acinar.cells	Amy2a3	mouse	acinar	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Acinar.cells	Pancreas.Acinar.cells	Amy2a5	mouse	acinar	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Acinar.cells	Pancreas.Acinar.cells	Try4	mouse	acinar	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Beta.cells	Pancreas.Beta.cells	Ero1lb	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Beta.cells	Pancreas.Beta.cells	Ins1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Beta.cells	Pancreas.Beta.cells	Ins2	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Epsilon.cells	Pancreas.Epsilon.cells	Gramd2	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Pancreas.Epsilon.cells	Pancreas.Epsilon.cells	Ms4a8a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Pancreas
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Fthl17a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Prl3b1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Rhox5	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Rhox6	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Rhox9	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Serpinb9e	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Serpinb9g	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Tex19.1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	Placenta.Undefined.placental.cells	Tpbpa	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Placenta
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Adam3	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Cetn4	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Cmtm2a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Cmtm2b	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Cyct	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Cypt12	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Cypt4	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Dbil5	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Fam209	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Fhl4	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Gstt4	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Irgc1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Nupr1l	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Prdx6b	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Tex19.1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Tmco5	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Trap1a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Tsga8	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Tssk1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Tuba3a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Tuba3b	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	Reproductive.Germ.cells	Wbscr25	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Granulosa.cells	Reproductive.Granulosa.cells	Akr1cl	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Granulosa.cells	Reproductive.Granulosa.cells	Kitl	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Leydig.cells	Reproductive.Leydig.cells	Akr1cl	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Leydig.cells	Reproductive.Leydig.cells	Ren1	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Luteal.cells	Reproductive.Luteal.cells	Dynlt1a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Ccl9	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Cst12	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Defb19	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Etd	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Gstm6	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Kitl	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Rhox8	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Serpina3n	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	Reproductive.Sertoli.cells	Tsx	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Reproductive
CELL.PanglaoDB2020.mouse.Skeletal.muscle.Myocytes	Skeletal.muscle.Myocytes	Il4ra	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Skeletal.muscle
CELL.PanglaoDB2020.mouse.Skeletal.muscle.Myocytes	Skeletal.muscle.Myocytes	Olfr599	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Skeletal.muscle
CELL.PanglaoDB2020.mouse.Skeletal.muscle.Satellite.cells	Skeletal.muscle.Satellite.cells	Zfp423	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Skeletal.muscle
CELL.PanglaoDB2020.mouse.Skin.Langerhans.cells	Skin.Langerhans.cells	Defb3	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Skin
CELL.PanglaoDB2020.mouse.Skin.Melanocytes	Skin.Melanocytes	Serpinb1a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Skin
CELL.PanglaoDB2020.mouse.Thymus.Thymocytes	Thymus.Thymocytes	Ms4a4b	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Thymus
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	Vasculature.Endothelial.cells	Abcb1a	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	Vasculature.Endothelial.cells	Car4	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	Vasculature.Endothelial.cells	Clca3a1	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	Vasculature.Endothelial.cells	Exoc3l	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	Vasculature.Endothelial.cells	Ly6a	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	Vasculature.Endothelial.cells	Ly6c1	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	Vasculature.Endothelial.cells	Slco1a4	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.aorta	Vasculature.Endothelial.cells.aorta	Adh1	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.aorta	Vasculature.Endothelial.cells.aorta	Car8	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.aorta	Vasculature.Endothelial.cells.aorta	Gkn3	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.aorta	Vasculature.Endothelial.cells.aorta	Gstt1	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.aorta	Vasculature.Endothelial.cells.aorta	H2-q6	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.blood.brain.barrier	Vasculature.Endothelial.cells.blood.brain.barrier	Zfp551	mouse	endothelial	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Pericytes	Vasculature.Pericytes	Ang2	mouse	pericyte	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Vasculature.Pericytes	Vasculature.Pericytes	Lhfp	mouse	pericyte	physiology	unknown	PanglaoDB;marker_gene_set;Vasculature
CELL.PanglaoDB2020.mouse.Zygote.Embryonic.stem.cells	Zygote.Embryonic.stem.cells	Dppa5a	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Zygote
CELL.PanglaoDB2020.mouse.Zygote.Embryonic.stem.cells	Zygote.Embryonic.stem.cells	Zscan4d	mouse	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Zygote
CELL.PanglaoDB2020.mouse.unknown.Pluripotent.stem.cells	unknown.Pluripotent.stem.cells	Zfp819	mouse	NK_cell	physiology	unknown	PanglaoDB;marker_gene_set;unknown
