signature_id	signature_name	gene	species	cell_family
CAF.ReviewLiu26.Hutton21.panParenchymalFibro	Hutton21.panParenchymalFibro	Msln	mouse	fibroblast
CAF.ReviewLiu26.Hutton21.panParenchymalFibro	Hutton21.panParenchymalFibro	Krt18	mouse	fibroblast
CAF.ReviewLiu26.Hutton21.panParenchymalFibro	Hutton21.panParenchymalFibro	Ezr	mouse	fibroblast
CAF.ReviewLiu26.Hutton21.panParenchymalFibro	Hutton21.panParenchymalFibro	Cd14	mouse	fibroblast
CAF.ReviewLiu26.Hutton21.panParenchymalFibro	Hutton21.panParenchymalFibro	Nos2	mouse	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	IGF1	human	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	CXCL12	human	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	FIGF	human	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	DLK1	human	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	CXCL1	human	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	IGF2	human	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	ALDH1A1	human	fibroblast
CAF.ReviewLiu26.Wu20.iCAF	Wu20.iCAF	CD34	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	FN1	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	MMP11	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	COL12A1	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	COL1A1	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	PDPN	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	LOX	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	MMP2	human	fibroblast
CAF.ReviewLiu26.Wu20.myCAF	Wu20.myCAF	FAP	human	fibroblast
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	MYH11	human	pericyte
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	ACTA2	human	pericyte
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	MYL9	human	pericyte
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	TAGLN	human	pericyte
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	CD9	human	pericyte
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	MYLK	human	pericyte
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	MCAM	human	pericyte
CAF.ReviewLiu26.Wu20.dPVL	Wu20.dPVL	RGS5	human	pericyte
CAF.ReviewLiu26.Wu20.imPVL	Wu20.imPVL	CD36	human	pericyte
CAF.ReviewLiu26.Wu20.imPVL	Wu20.imPVL	RGS5	human	pericyte
CAF.ReviewLiu26.Wu20.imPVL	Wu20.imPVL	NOTCH3	human	pericyte
CAF.ReviewLiu26.Wu20.imPVL	Wu20.imPVL	ITGA1	human	pericyte
CAF.ReviewLiu26.Wu20.imPVL	Wu20.imPVL	MCAM	human	pericyte
CAF.ReviewLiu26.Wu20.imPVL	Wu20.imPVL	MYLK	human	pericyte
CAF.ReviewLiu26.Wu20.imPVL	Wu20.imPVL	TAGLN	human	pericyte
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Pdpn	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Cxcl12	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Saa3	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Acta2	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Fbn1	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Cxcl1	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Il6	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.pCAF	Friedman20.pCAF	Ly6c1	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.sCAF	Friedman20.sCAF	S100a4	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.sCAF	Friedman20.sCAF	H2-Aa	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.sCAF	Friedman20.sCAF	Hspd1	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.sCAF	Friedman20.sCAF	Spp1	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.NMFprogenitor	Friedman20.NMFprogenitor	Gsn	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.NMFprogenitor	Friedman20.NMFprogenitor	Ppap2b	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.NMFprogenitor	Friedman20.NMFprogenitor	Ogn	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.NMFprogenitor	Friedman20.NMFprogenitor	Timp2	mouse	fibroblast
CAF.ReviewLiu26.Friedman20.NMFprogenitor	Friedman20.NMFprogenitor	Igfbp6	mouse	fibroblast
