signature_id	signature_name	gene	weight
PDAC.PAMG20.ICGCarray	ICGCarray	ABHD4	0.294313607785544
PDAC.PAMG20.ICGCarray	ICGCarray	ABHD5	-1.02023555608012
PDAC.PAMG20.ICGCarray	ICGCarray	ABHD6	1.20217557107034
PDAC.PAMG20.ICGCarray	ICGCarray	ABHD7	-0.380005459802599
PDAC.PAMG20.ICGCarray	ICGCarray	ABHD8	0.292848348447846
PDAC.PAMG20.ICGCarray	ICGCarray	ABHD9	-1.15287244484706
PDAC.PAMG20.ICGCarray	ICGCarray	ABI1	0.57199396802812
PDAC.PAMG20.ICGCarray	ICGCarray	ABI2	-0.44852156662565
PDAC.PAMG20.ICGCarray	ICGCarray	ABI3	-0.341521015836445
PDAC.PAMG20.ICGCarray	ICGCarray	ABI3BP	0.630205607351667
PDAC.PAMG20.ICGCarray	ICGCarray	ABL1	-0.326685757421144
PDAC.PAMG20.ICGCarray	ICGCarray	ABL2	-2.31281715961234
PDAC.PAMG20.ICGCarray	ICGCarray	ABLIM1	1.4011397568193
PDAC.PAMG20.ICGCarray	ICGCarray	ABLIM2	0.698097295471738
PDAC.PAMG20.ICGCarray	ICGCarray	ABLIM3	-0.860356742779629
PDAC.PAMG20.ICGCarray	ICGCarray	ABP1	6.04215179586916
PDAC.PAMG20.ICGCarray	ICGCarray	ABT1	-0.28980356971547
PDAC.PAMG20.ICGCarray	ICGCarray	ABTB1	0.540229013211669
PDAC.PAMG20.ICGCarray	ICGCarray	ABTB2	0.402663493880237
PDAC.PAMG20.ICGCarray	ICGCarray	ACAA1	0.73773108584655
PDAC.PAMG20.ICGCarray	ICGCarray	ACAA2	0.397807673494936
PDAC.PAMG20.ICGCarray	ICGCarray	ACACA	0.111474533042895
PDAC.PAMG20.ICGCarray	ICGCarray	ACACB	1.8120743019495
PDAC.PAMG20.ICGCarray	ICGCarray	ACAD10	0.577905328073516
PDAC.PAMG20.ICGCarray	ICGCarray	ACAD11	-0.390309548377965
PDAC.PAMG20.ICGCarray	ICGCarray	ACAD8	0.171688787907507
PDAC.PAMG20.ICGCarray	ICGCarray	ACADL	0.0187967583833081
PDAC.PAMG20.ICGCarray	ICGCarray	ACADM	0.294444538421296
PDAC.PAMG20.ICGCarray	ICGCarray	ACADS	1.41530476788723
PDAC.PAMG20.ICGCarray	ICGCarray	ACADVL	-0.40956849074101
PDAC.PAMG20.ICGCarray	ICGCarray	ACAP1	-0.81417561211735
PDAC.PAMG20.ICGCarray	ICGCarray	ACAP2	-1.30721450497666
PDAC.PAMG20.ICGCarray	ICGCarray	ACAT1	-0.171565530579608
PDAC.PAMG20.ICGCarray	ICGCarray	ACAT2	0.342171779793398
PDAC.PAMG20.ICGCarray	ICGCarray	ACBD4	0.489800131289722
PDAC.PAMG20.ICGCarray	ICGCarray	ACBD5	0.308982252774889
PDAC.PAMG20.ICGCarray	ICGCarray	ACBD7	-0.0958752396422508
PDAC.PAMG20.ICGCarray	ICGCarray	ACCN2	-0.523964512836571
PDAC.PAMG20.ICGCarray	ICGCarray	ACCS	0.757648369890263
PDAC.PAMG20.ICGCarray	ICGCarray	ACD	-0.45352706297774
PDAC.PAMG20.ICGCarray	ICGCarray	ACE	1.15104268940932
PDAC.PAMG20.ICGCarray	ICGCarray	ACE2	4.11860467697679
PDAC.PAMG20.ICGCarray	ICGCarray	ACER2	0.0683042469961062
PDAC.PAMG20.ICGCarray	ICGCarray	ACER3	0.687945135721034
PDAC.PAMG20.ICGCarray	ICGCarray	ACHE	2.9104417611143
PDAC.PAMG20.ICGCarray	ICGCarray	ACIN1	0.025668169339667
PDAC.PAMG20.ICGCarray	ICGCarray	ACMSD	0.959811694404007
PDAC.PAMG20.ICGCarray	ICGCarray	ACN9	0.511930635268872
PDAC.PAMG20.ICGCarray	ICGCarray	ACOT1	-0.644407888286178
PDAC.PAMG20.ICGCarray	ICGCarray	ACOT11	1.13455958695658
PDAC.PAMG20.ICGCarray	ICGCarray	ACOT2	-0.199196250972651
PDAC.PAMG20.ICGCarray	ICGCarray	ACOT4	0.0728560252595
PDAC.PAMG20.ICGCarray	ICGCarray	ACOT7	-0.6386011996382
PDAC.PAMG20.ICGCarray	ICGCarray	ACOT8	0.156496546835757
PDAC.PAMG20.ICGCarray	ICGCarray	ACOT9	-1.24084023982978
PDAC.PAMG20.ICGCarray	ICGCarray	ACOX1	0.704136371120017
PDAC.PAMG20.ICGCarray	ICGCarray	ACOX2	0.0489024594536084
PDAC.PAMG20.ICGCarray	ICGCarray	ACOX3	0.788311689325009
PDAC.PAMG20.ICGCarray	ICGCarray	ACP1	-0.617610065358194
PDAC.PAMG20.ICGCarray	ICGCarray	ACP5	-0.768760236262238
PDAC.PAMG20.ICGCarray	ICGCarray	ACP6	1.24540465407719
PDAC.PAMG20.ICGCarray	ICGCarray	ACPL2	-0.100341594455021
PDAC.PAMG20.ICGCarray	ICGCarray	ACPP	1.39694086056631
PDAC.PAMG20.ICGCarray	ICGCarray	ACPT	0.238502835700656
PDAC.PAMG20.ICGCarray	ICGCarray	ACRC	-0.644740085766567
PDAC.PAMG20.ICGCarray	ICGCarray	ACRV1	-0.144810079528848
PDAC.PAMG20.ICGCarray	ICGCarray	ACSF2	-0.291400031138292
PDAC.PAMG20.ICGCarray	ICGCarray	ACSF3	0.799389478713242
PDAC.PAMG20.ICGCarray	ICGCarray	ACSL1	0.41035810631834
PDAC.PAMG20.ICGCarray	ICGCarray	ACSL3	0.549912804891992
PDAC.PAMG20.ICGCarray	ICGCarray	ACSL4	-0.512551704049966
