signature_id	signature_name	gene	weight
PDAC.GemPred20.Simple	Simple	AC022154.1	-0.535345261745396
PDAC.GemPred20.Simple	Simple	AC022167.1	-0.147235958239674
PDAC.GemPred20.Simple	Simple	AC022400.5	-0.00363172156290266
PDAC.GemPred20.Simple	Simple	AC022497.1	1.38527375758357
PDAC.GemPred20.Simple	Simple	AC022506.1	0.223356908137791
PDAC.GemPred20.Simple	Simple	AC022966.2	0.0700486432736995
PDAC.GemPred20.Simple	Simple	AC024243.1	-0.165654891896519
PDAC.GemPred20.Simple	Simple	AC024558.2	0.944726963245211
PDAC.GemPred20.Simple	Simple	AC024598.1	-1.40732497137341
PDAC.GemPred20.Simple	Simple	AC025031.4	-0.542344032272074
PDAC.GemPred20.Simple	Simple	AC025040.2	-0.434887629319988
PDAC.GemPred20.Simple	Simple	AC025263.2	0.282216876136191
PDAC.GemPred20.Simple	Simple	AC026271.3	0.326619091357785
PDAC.GemPred20.Simple	Simple	AC026356.2	0.0719019787677502
PDAC.GemPred20.Simple	Simple	AC027544.1	0.210916252581765
PDAC.GemPred20.Simple	Simple	AC034228.3	-1.1349069594895
PDAC.GemPred20.Simple	Simple	AC034231.1	-1.02259325193567
PDAC.GemPred20.Simple	Simple	AC037198.1	-2.17007812671802
PDAC.GemPred20.Simple	Simple	AC039056.2	0.334834030556574
PDAC.GemPred20.Simple	Simple	AC044802.1	1.02148652448988
PDAC.GemPred20.Simple	Simple	AC048382.2	0.0700963272159359
PDAC.GemPred20.Simple	Simple	AC051619.5	0.114109795136294
PDAC.GemPred20.Simple	Simple	AC061992.2	0.641078444118463
PDAC.GemPred20.Simple	Simple	AC064799.1	0.742308960862732
PDAC.GemPred20.Simple	Simple	AC067852.1	-0.923040272193909
PDAC.GemPred20.Simple	Simple	AC067942.1	0.665677088596566
PDAC.GemPred20.Simple	Simple	AC068669.1	0.181035747557331
PDAC.GemPred20.Simple	Simple	AC068790.5	0.16620882773113
PDAC.GemPred20.Simple	Simple	AC069213.1	0.307947304294137
PDAC.GemPred20.Simple	Simple	AC069222.1	0.262437272246791
PDAC.GemPred20.Simple	Simple	AC073389.3	0.359943675458192
PDAC.GemPred20.Simple	Simple	AC078815.1	0.266398677294232
PDAC.GemPred20.Simple	Simple	AC079684.1	0.214510504070933
PDAC.GemPred20.Simple	Simple	AC079781.5	1.23256687801092
PDAC.GemPred20.Simple	Simple	AC079949.2	1.6368877361802
