"","cell_ID","color_label","reannotated_cell_type"
"1","Bcell__yellowgreen__Cy72_CD45_H02_S758_comb","brown","Bcell"
"2","Tcell__green__CY58_1_CD45_B02_S974_comb","turquoise","Tcell"
"3","malignant__turquoise__Cy71_CD45_D08_S524_comb","blue","malignant"
"4","malignant__turquoise__Cy81_FNA_CD45_B01_S301_comb","blue","malignant"
"5","malignant__turquoise__Cy80_II_CD45_B07_S883_comb","blue","malignant"
"6","malignant__turquoise__Cy81_Bulk_CD45_B10_S118_comb","blue","malignant"
"7","Tcell__green__Cy72_CD45_D09_S717_comb","turquoise","Tcell"
"8","Tcell__green__Cy74_CD45_A03_S387_comb","turquoise","Tcell"
"9","malignant__turquoise__Cy71_CD45_B05_S497_comb","blue","malignant"
"10","malignant__turquoise__Cy80_II_CD45_C09_S897_comb","blue","malignant"
"11","Tcell__green__Cy74_CD45_F09_S453_comb","turquoise","Tcell"
"12","Tcell__green__CY58_1_CD45_D03_S999_comb","turquoise","Tcell"
"13","Tcell__green__Cy72_CD45_C01_S697_comb","turquoise","Tcell"
"14","Tcell__green__Cy71_CD45_D07_S523_comb","turquoise","Tcell"
"15","malignant__turquoise__Cy81_FNA_CD45_E05_S341_comb","blue","malignant"
"16","Tcell__green__Cy74_CD45_D04_S424_comb","turquoise","Tcell"
"17","Tcell__green__Cy74_CD45_C11_S419_comb","turquoise","Tcell"
"18","malignant__turquoise__Cy81_Bulk_CD45_E10_S154_comb","blue","malignant"
"19","malignant__turquoise__Cy80_II_CD45_H07_S955_comb","blue","malignant"
"20","malignant__turquoise__Cy81_FNA_CD45_D09_S333_comb","blue","malignant"
"21","malignant__turquoise__Cy71_CD45_E12_S540_comb","blue","malignant"
"22","Tcell__green__Cy81_FNA_CD45_D07_S235_comb","turquoise","Tcell"
"23","Tcell__green__Cy72_CD45_D07_S715_comb","turquoise","Tcell"
"24","Tcell__green__Cy72_CD45_E08_S728_comb","turquoise","Tcell"
"25","Tcell__green__Cy71_CD45_B07_S499_comb","turquoise","Tcell"
"26","malignant__turquoise__Cy71_CD45_G02_S554_comb","blue","malignant"
"27","Tcell__green__Cy71_CD45_E03_S531_comb","turquoise","Tcell"
"28","Tcell__green__Cy74_CD45_H03_S471_comb","turquoise","Tcell"
"29","malignant__turquoise__Cy80_II_CD45_H09_S957_comb","blue","malignant"
"30","Bcell__yellowgreen__Cy72_CD45_D03_S711_comb","brown","Bcell"
"31","malignant__turquoise__Cy80_II_CD45_B11_S887_comb","blue","malignant"
"32","malignant__turquoise__Cy81_Bulk_CD45_E04_S148_comb","blue","malignant"
"33","Tcell__green__CY58_1_CD45_A06_S966_comb","turquoise","Tcell"
"34","malignant__turquoise__Cy80_II_CD45_D11_S911_comb","blue","malignant"
"35","Tcell__green__Cy81_FNA_CD45_A09_S201_comb","turquoise","Tcell"
"36","Tcell__green__Cy81_FNA_CD45_B12_S216_comb","turquoise","Tcell"
"37","Tcell__green__Cy71_CD45_B08_S500_comb","turquoise","Tcell"
"38","malignant__turquoise__Cy81_FNA_CD45_G10_S370_comb","blue","malignant"
"39","malignant__turquoise__Cy71_CD45_E11_S539_comb","blue","malignant"
"40","malignant__turquoise__Cy81_FNA_CD45_C09_S321_comb","blue","malignant"
"41","Tcell__green__CY58_1_CD45_D11_S1007_comb","turquoise","Tcell"
"42","malignant__turquoise__Cy80_II_CD45_G07_S943_comb","blue","malignant"
"43","Tcell__green__Cy72_CD45_F12_S744_comb","turquoise","Tcell"
"44","CAF__red__Cy80_II_CD45_G05_S941_comb","green","CAF"
"45","Tcell__green__Cy72_CD45_C07_S703_comb","turquoise","Tcell"
"46","malignant__turquoise__Cy71_CD45_G08_S560_comb","blue","malignant"
"47","Tcell__green__Cy74_CD45_F07_S451_comb","turquoise","Tcell"
"48","malignant__turquoise__Cy71_CD45_F06_S546_comb","blue","malignant"
"49","Tcell__green__Cy81_FNA_CD45_B04_S208_comb","turquoise","Tcell"
"50","Tcell__green__Cy74_CD45_C02_S410_comb","turquoise","Tcell"
"51","malignant__turquoise__Cy81_Bulk_CD45_D01_S133_comb","green","CAF"
"52","Tcell__green__Cy81_FNA_CD45_G01_S265_comb","turquoise","Tcell"
"53","Tcell__green__Cy81_FNA_CD45_D02_S230_comb","turquoise","Tcell"
"54","malignant__turquoise__Cy81_Bulk_CD45_D10_S142_comb","blue","malignant"
"55","Tcell__green__CY58_1_CD45_A10_S970_comb","turquoise","Tcell"
"56","malignant__turquoise__Cy81_FNA_CD45_C05_S317_comb","blue","malignant"
"57","Tcell__green__Cy72_CD45_D12_S720_comb","turquoise","Tcell"
"58","malignant__turquoise__Cy80_II_CD45_B01_S877_comb","blue","malignant"
"59","Tcell__green__CY58_1_CD45_F11_S1031_comb","turquoise","Tcell"
"60","malignant__turquoise__Cy81_Bulk_CD45_G12_S180_comb","blue","malignant"
"61","Tcell__green__Cy81_FNA_CD45_F01_S253_comb","turquoise","Tcell"
"62","Tcell__green__Cy74_CD45_A08_S392_comb","turquoise","Tcell"
"63","Tcell__green__Cy71_CD45_G06_S558_comb","turquoise","Tcell"
"64","Tcell__green__Cy74_CD45_A04_S388_comb","turquoise","Tcell"
"65","Tcell__green__CY58_1_CD45_B01_S973_comb","turquoise","Tcell"
"66","Tcell__green__CY58_1_CD45_H12_S1056_comb","turquoise","Tcell"
"67","malignant__turquoise__Cy81_FNA_CD45_F02_S350_comb","blue","malignant"
"68","Tcell__green__CY58_1_CD45_F05_S1025_comb","turquoise","Tcell"
"69","malignant__turquoise__Cy71_CD45_H06_S570_comb","turquoise","Tcell"
"70","Tcell__green__CY58_1_CD45_H02_S1046_comb","turquoise","Tcell"
"71","malignant__turquoise__Cy80_II_CD45_B09_S885_comb","blue","malignant"
"72","Bcell__yellowgreen__Cy72_CD45_A07_S679_comb","brown","Bcell"
"73","Tcell__green__Cy74_CD45_G02_S458_comb","turquoise","Tcell"
"74","malignant__turquoise__Cy81_FNA_CD45_H12_S384_comb","blue","malignant"
"75","Tcell__green__Cy72_CD45_G12_S756_comb","turquoise","Tcell"
"76","Tcell__green__Cy72_CD45_B02_S686_comb","turquoise","Tcell"
"77","Tcell__green__CY58_1_CD45_B09_S981_comb","turquoise","Tcell"
"78","malignant__turquoise__Cy81_Bulk_CD45_E08_S152_comb","blue","malignant"
"79","Tcell__green__Cy74_CD45_E04_S436_comb","turquoise","Tcell"
"80","malignant__turquoise__Cy80_II_CD45_G09_S945_comb","blue","malignant"
"81","Tcell__green__Cy81_FNA_CD45_A02_S194_comb","turquoise","Tcell"
"82","Tcell__green__Cy81_FNA_CD45_H12_S288_comb","turquoise","Tcell"
"83","Tcell__green__Cy81_FNA_CD45_A06_S198_comb","turquoise","Tcell"
"84","malignant__turquoise__Cy80_II_CD45_D09_S909_comb","blue","malignant"
"85","Tcell__green__Cy74_CD45_F01_S445_comb","turquoise","Tcell"
"86","malignant__turquoise__Cy71_CD45_D11_S527_comb","blue","malignant"
"87","Tcell__green__Cy74_CD45_D01_S421_comb","turquoise","Tcell"
"88","Bcell__yellowgreen__Cy74_CD45_B08_S404_comb","brown","Bcell"
"89","Tcell__green__Cy72_CD45_B07_S691_comb","turquoise","Tcell"
"90","Tcell__green__Cy81_FNA_CD45_A03_S195_comb","turquoise","Tcell"
"91","Tcell__green__Cy81_FNA_CD45_G02_S266_comb","turquoise","Tcell"
"92","Tcell__green__Cy81_FNA_CD45_D11_S239_comb","turquoise","Tcell"
"93","malignant__turquoise__Cy81_Bulk_CD45_B09_S117_comb","blue","malignant"
"94","Tcell__green__CY58_1_CD45_F10_S1030_comb","turquoise","Tcell"
"95","Tcell__green__Cy81_FNA_CD45_C06_S222_comb","turquoise","Tcell"
"96","Tcell__green__Cy72_CD45_B06_S690_comb","turquoise","Tcell"
"97","malignant__turquoise__Cy71_CD45_G09_S561_comb","blue","malignant"
"98","malignant__turquoise__Cy71_CD45_F11_S551_comb","blue","malignant"
"99","malignant__turquoise__Cy81_FNA_CD45_B10_S310_comb","blue","malignant"
"100","Tcell__green__Cy74_CD45_B03_S399_comb","turquoise","Tcell"
"101","Tcell__green__Cy74_CD45_F08_S452_comb","turquoise","Tcell"
"102","malignant__turquoise__Cy71_CD45_H10_S574_comb","blue","malignant"
"103","Tcell__green__Cy72_CD45_D01_S709_comb","turquoise","Tcell"
"104","Macro__yellow__Cy74_CD45_H08_S476_comb","yellow","Macro"
"105","malignant__turquoise__Cy81_Bulk_CD45_C06_S126_comb","green","CAF"
"106","Tcell__green__Cy74_CD45_G01_S457_comb","turquoise","Tcell"
"107","Tcell__green__Cy74_CD45_F02_S446_comb","turquoise","Tcell"
"108","malignant__turquoise__Cy81_FNA_CD45_H10_S382_comb","blue","malignant"
"109","malignant__turquoise__Cy80_II_CD45_B02_S878_comb","blue","malignant"
"110","Tcell__green__Cy81_FNA_CD45_B08_S212_comb","turquoise","Tcell"
"111","Tcell__green__Cy71_CD45_D12_S528_comb","turquoise","Tcell"
"112","Bcell__yellowgreen__Cy74_CD45_C03_S411_comb","brown","Bcell"
"113","malignant__turquoise__Cy81_FNA_CD45_B11_S311_comb","blue","malignant"
"114","malignant__turquoise__Cy81_Bulk_CD45_B12_S120_comb","blue","malignant"
"115","Tcell__green__Cy74_CD45_H06_S474_comb","turquoise","Tcell"
"116","Tcell__green__Cy72_CD45_H06_S762_comb","turquoise","Tcell"
"117","malignant__turquoise__Cy71_CD45_A10_S490_comb","blue","malignant"
"118","Bcell__yellowgreen__Cy72_CD45_A05_S677_comb","brown","Bcell"
"119","malignant__turquoise__Cy80_II_CD45_F12_S936_comb","blue","malignant"
"120","malignant__turquoise__Cy80_II_CD45_B06_S882_comb","blue","malignant"
"121","malignant__turquoise__Cy71_CD45_F10_S550_comb","blue","malignant"
"122","malignant__turquoise__Cy71_CD45_D09_S525_comb","blue","malignant"
"123","Tcell__green__Cy72_CD45_G01_S745_comb","turquoise","Tcell"
"124","Tcell__green__Cy74_CD45_H12_S480_comb","turquoise","Tcell"
"125","Tcell__green__CY58_1_CD45_G11_S1043_comb","turquoise","Tcell"
"126","Tcell__green__CY58_1_CD45_D04_S1000_comb","turquoise","Tcell"
"127","Tcell__green__Cy72_CD45_A11_S683_comb","turquoise","Tcell"
"128","Tcell__green__Cy81_FNA_CD45_C11_S227_comb","turquoise","Tcell"
"129","Tcell__green__Cy71_CD45_F03_S543_comb","turquoise","Tcell"
"130","malignant__turquoise__Cy80_II_CD45_F07_S931_comb","blue","malignant"
"131","Tcell__green__Cy72_CD45_E10_S730_comb","turquoise","Tcell"
"132","malignant__turquoise__Cy71_CD45_E10_S538_comb","blue","malignant"
"133","Tcell__green__CY58_1_CD45_F09_S1029_comb","turquoise","Tcell"
"134","malignant__turquoise__Cy80_II_CD45_B12_S888_comb","blue","malignant"
"135","Tcell__green__CY58_1_CD45_E05_S1013_comb","turquoise","Tcell"
"136","Bcell__yellowgreen__Cy74_CD45_D08_S428_comb","brown","Bcell"
"137","Tcell__green__CY58_1_CD45_F04_S1024_comb","turquoise","Tcell"
"138","malignant__turquoise__Cy80_II_CD45_A09_S873_comb","blue","malignant"
"139","Tcell__green__CY58_1_CD45_F12_S1032_comb","turquoise","Tcell"
"140","Tcell__green__CY58_1_CD45_G09_S1041_comb","turquoise","Tcell"
"141","Tcell__green__Cy81_FNA_CD45_F04_S256_comb","turquoise","Tcell"
"142","malignant__turquoise__Cy80_II_CD45_F11_S935_comb","blue","malignant"
"143","Tcell__green__Cy74_CD45_G04_S460_comb","turquoise","Tcell"
"144","Tcell__green__CY58_1_CD45_C03_S987_comb","turquoise","Tcell"
"145","malignant__turquoise__Cy81_Bulk_CD45_E03_S147_comb","blue","malignant"
"146","Tcell__green__Cy72_CD45_F05_S737_comb","turquoise","Tcell"
"147","Tcell__green__Cy74_CD45_D03_S423_comb","turquoise","Tcell"
"148","malignant__turquoise__Cy80_II_CD45_D04_S904_comb","blue","malignant"
"149","Tcell__green__Cy74_CD45_G03_S459_comb","turquoise","Tcell"
"150","Tcell__green__Cy81_FNA_CD45_A07_S199_comb","turquoise","Tcell"
"151","malignant__turquoise__Cy71_CD45_B12_S504_comb","blue","malignant"
"152","Tcell__green__Cy72_CD45_B05_S689_comb","turquoise","Tcell"
"153","malignant__turquoise__Cy81_Bulk_CD45_A11_S107_comb","blue","malignant"
"154","Tcell__green__CY58_1_CD45_A07_S967_comb","turquoise","Tcell"
"155","Bcell__yellowgreen__Cy72_CD45_B09_S693_comb","brown","Bcell"
"156","Tcell__green__CY58_1_CD45_F03_S1023_comb","turquoise","Tcell"
"157","malignant__turquoise__Cy71_CD45_E02_S530_comb","blue","malignant"
"158","malignant__turquoise__Cy71_CD45_B03_S495_comb","blue","malignant"
"159","malignant__turquoise__Cy81_FNA_CD45_C08_S320_comb","blue","malignant"
"160","Tcell__green__Cy74_CD45_G08_S464_comb","turquoise","Tcell"
"161","malignant__turquoise__Cy81_Bulk_CD45_C05_S125_comb","blue","malignant"
"162","Tcell__green__Cy72_CD45_F02_S734_comb","turquoise","Tcell"
"163","Tcell__green__Cy74_CD45_E08_S440_comb","turquoise","Tcell"
"164","Tcell__green__Cy81_FNA_CD45_C02_S218_comb","turquoise","Tcell"
"165","Tcell__green__CY58_1_CD45_A04_S964_comb","turquoise","Tcell"
"166","malignant__turquoise__Cy71_CD45_F01_S541_comb","blue","malignant"
"167","malignant__turquoise__Cy81_Bulk_CD45_B04_S112_comb","blue","malignant"
"168","Tcell__green__Cy74_CD45_G07_S463_comb","turquoise","Tcell"
"169","malignant__turquoise__Cy71_CD45_G05_S557_comb","blue","malignant"
"170","Tcell__green__Cy81_FNA_CD45_A05_S197_comb","turquoise","Tcell"
"171","Bcell__yellowgreen__Cy81_FNA_CD45_H05_S281_comb","brown","Bcell"
"172","Tcell__green__Cy81_FNA_CD45_A08_S200_comb","turquoise","Tcell"
"173","Bcell__yellowgreen__Cy72_CD45_F10_S742_comb","brown","Bcell"
"174","Tcell__green__Cy74_CD45_B06_S402_comb","turquoise","Tcell"
"175","Tcell__green__Cy74_CD45_H02_S470_comb","turquoise","Tcell"
"176","Tcell__green__CY58_1_CD45_B08_S980_comb","turquoise","Tcell"
"177","Endo__pink__Cy80_II_CD45_C12_S900_comb","red","Endo"
"178","Tcell__green__Cy72_CD45_F07_S739_comb","turquoise","Tcell"
"179","malignant__turquoise__Cy81_FNA_CD45_F03_S351_comb","blue","malignant"
"180","Tcell__green__Cy71_CD45_C08_S512_comb","turquoise","Tcell"
"181","malignant__turquoise__Cy81_Bulk_CD45_B05_S113_comb","blue","malignant"
"182","Tcell__green__Cy74_CD45_C06_S414_comb","turquoise","Tcell"
"183","malignant__turquoise__Cy71_CD45_F07_S547_comb","blue","malignant"
"184","Bcell__yellowgreen__Cy72_CD45_A03_S675_comb","brown","Bcell"
"185","Tcell__green__Cy81_FNA_CD45_F10_S262_comb","turquoise","Tcell"
"186","Tcell__green__Cy74_CD45_E02_S434_comb","turquoise","Tcell"
"187","Bcell__yellowgreen__Cy72_CD45_C03_S699_comb","brown","Bcell"
"188","Bcell__yellowgreen__Cy81_FNA_CD45_G11_S275_comb","brown","Bcell"
"189","Tcell__green__Cy81_FNA_CD45_B01_S205_comb","turquoise","Tcell"
"190","Tcell__green__CY58_1_CD45_D06_S1002_comb","turquoise","Tcell"
"191","Tcell__green__Cy72_CD45_D04_S712_comb","turquoise","Tcell"
"192","Bcell__yellowgreen__Cy72_CD45_C06_S702_comb","brown","Bcell"
"193","Bcell__yellowgreen__Cy74_CD45_F10_S454_comb","brown","Bcell"
"194","Tcell__green__Cy72_CD45_C12_S708_comb","turquoise","Tcell"
"195","Tcell__green__Cy72_CD45_E04_S724_comb","turquoise","Tcell"
"196","Tcell__green__Cy81_FNA_CD45_B02_S206_comb","turquoise","Tcell"
"197","malignant__turquoise__Cy80_II_CD45_C02_S890_comb","blue","malignant"
"198","malignant__turquoise__Cy80_II_CD45_F01_S925_comb","blue","malignant"
"199","Tcell__green__Cy74_CD45_D10_S430_comb","turquoise","Tcell"
"200","Tcell__green__Cy72_CD45_D11_S719_comb","turquoise","Tcell"
"201","Tcell__green__Cy72_CD45_H03_S759_comb","turquoise","Tcell"
"202","Endo__pink__Cy80_II_CD45_G10_S946_comb","red","Endo"
"203","Tcell__green__Cy81_FNA_CD45_H02_S278_comb","turquoise","Tcell"
"204","Endo__pink__Cy80_II_CD45_F08_S932_comb","red","Endo"
"205","malignant__turquoise__Cy80_II_CD45_E01_S913_comb","blue","malignant"
"206","malignant__turquoise__Cy81_FNA_CD45_B02_S302_comb","blue","malignant"
"207","Bcell__yellowgreen__Cy72_CD45_F04_S736_comb","brown","Bcell"
"208","Tcell__green__CY58_1_CD45_H11_S1055_comb","turquoise","Tcell"
"209","Tcell__green__Cy71_CD45_D05_S521_comb","turquoise","Tcell"
"210","Tcell__green__CY58_1_CD45_A03_S963_comb","turquoise","Tcell"
"211","Tcell__green__Cy74_CD45_E07_S439_comb","turquoise","Tcell"
"212","Tcell__green__Cy72_CD45_C02_S698_comb","turquoise","Tcell"
"213","malignant__turquoise__Cy81_FNA_CD45_F07_S355_comb","blue","malignant"
"214","malignant__turquoise__Cy80_II_CD45_H11_S959_comb","blue","malignant"
"215","malignant__turquoise__Cy81_FNA_CD45_E04_S340_comb","blue","malignant"
"216","Tcell__green__Cy81_FNA_CD45_F03_S255_comb","turquoise","Tcell"
"217","Tcell__green__CY58_1_CD45_C02_S986_comb","turquoise","Tcell"
"218","Tcell__green__Cy74_CD45_F04_S448_comb","turquoise","Tcell"
"219","Tcell__green__Cy74_CD45_G10_S466_comb","turquoise","Tcell"
"220","malignant__turquoise__Cy81_FNA_CD45_H09_S381_comb","blue","malignant"
"221","Tcell__green__Cy81_FNA_CD45_C03_S219_comb","turquoise","Tcell"
"222","malignant__turquoise__Cy80_II_CD45_A01_S865_comb","blue","malignant"
"223","Tcell__green__Cy72_CD45_F03_S735_comb","turquoise","Tcell"
"224","malignant__turquoise__Cy81_Bulk_CD45_F12_S168_comb","blue","malignant"
"225","Bcell__yellowgreen__Cy72_CD45_G11_S755_comb","brown","Bcell"
"226","Tcell__green__CY58_1_CD45_B11_S983_comb","turquoise","Tcell"
"227","Tcell__green__Cy81_FNA_CD45_E05_S245_comb","turquoise","Tcell"
"228","Tcell__green__Cy72_CD45_G06_S750_comb","turquoise","Tcell"
"229","malignant__turquoise__Cy71_CD45_E06_S534_comb","blue","malignant"
"230","Tcell__green__Cy71_CD45_F04_S544_comb","turquoise","Tcell"
"231","Tcell__green__CY58_1_CD45_D07_S1003_comb","turquoise","Tcell"
"232","Tcell__green__Cy71_CD45_E07_S535_comb","turquoise","Tcell"
"233","Tcell__green__CY58_1_CD45_F06_S1026_comb","turquoise","Tcell"
"234","malignant__turquoise__Cy71_CD45_C12_S516_comb","blue","malignant"
"235","Tcell__green__Cy81_FNA_CD45_B06_S210_comb","turquoise","Tcell"
"236","Tcell__green__Cy81_FNA_CD45_A10_S202_comb","turquoise","Tcell"
"237","Tcell__green__Cy72_CD45_A10_S682_comb","turquoise","Tcell"
"238","Tcell__green__Cy72_CD45_A12_S684_comb","turquoise","Tcell"
"239","malignant__turquoise__Cy71_CD45_A06_S486_comb","blue","malignant"
"240","Tcell__green__CY58_1_CD45_G02_S1034_comb","turquoise","Tcell"
"241","malignant__turquoise__Cy80_II_CD45_E11_S923_comb","blue","malignant"
"242","Tcell__green__CY58_1_CD45_G03_S1035_comb","turquoise","Tcell"
"243","Tcell__green__Cy72_CD45_D10_S718_comb","turquoise","Tcell"
"244","malignant__turquoise__Cy71_CD45_C09_S513_comb","blue","malignant"
"245","malignant__turquoise__Cy71_CD45_E05_S533_comb","blue","malignant"
"246","Tcell__green__Cy72_CD45_E01_S721_comb","turquoise","Tcell"
"247","malignant__turquoise__Cy81_Bulk_CD45_A08_S104_comb","blue","malignant"
"248","Macro__yellow__Cy74_CD45_A06_S390_comb","yellow","Macro"
"249","Tcell__green__Cy81_FNA_CD45_F07_S259_comb","turquoise","Tcell"
"250","Tcell__green__Cy72_CD45_B12_S696_comb","turquoise","Tcell"
"251","malignant__turquoise__Cy71_CD45_H12_S576_comb","blue","malignant"
"252","malignant__turquoise__Cy80_II_CD45_E08_S920_comb","blue","malignant"
"253","Tcell__green__CY58_1_CD45_A08_S968_comb","turquoise","Tcell"
"254","Tcell__green__Cy72_CD45_H08_S764_comb","turquoise","Tcell"
"255","Macro__yellow__Cy74_CD45_C07_S415_comb","yellow","Macro"
"256","malignant__turquoise__Cy81_FNA_CD45_H05_S377_comb","blue","malignant"
"257","Bcell__yellowgreen__Cy72_CD45_G08_S752_comb","brown","Bcell"
"258","malignant__turquoise__Cy81_FNA_CD45_D12_S336_comb","blue","malignant"
"259","Tcell__green__CY58_1_CD45_C07_S991_comb","turquoise","Tcell"
"260","Tcell__green__CY58_1_CD45_G01_S1033_comb","turquoise","Tcell"
"261","Bcell__yellowgreen__Cy72_CD45_D02_S710_comb","brown","Bcell"
"262","Tcell__green__Cy81_FNA_CD45_G06_S270_comb","turquoise","Tcell"
"263","Tcell__green__Cy81_FNA_CD45_A11_S203_comb","turquoise","Tcell"
"264","Tcell__green__Cy71_CD45_H09_S573_comb","turquoise","Tcell"
"265","Tcell__green__Cy72_CD45_G10_S754_comb","turquoise","Tcell"
"266","Tcell__green__Cy74_CD45_G09_S465_comb","turquoise","Tcell"
"267","Tcell__green__Cy74_CD45_F11_S455_comb","turquoise","Tcell"
"268","malignant__turquoise__Cy71_CD45_A07_S487_comb","blue","malignant"
"269","malignant__turquoise__Cy71_CD45_G11_S563_comb","blue","malignant"
"270","Tcell__green__CY58_1_CD45_H10_S1054_comb","turquoise","Tcell"
"271","Endo__pink__Cy80_II_CD45_C03_S891_comb","red","Endo"
"272","Tcell__green__Cy72_CD45_E03_S723_comb","turquoise","Tcell"
"273","Tcell__green__Cy72_CD45_B11_S695_comb","turquoise","Tcell"
"274","Tcell__green__Cy74_CD45_D09_S429_comb","turquoise","Tcell"
"275","Tcell__green__Cy72_CD45_H09_S765_comb","turquoise","Tcell"
"276","malignant__turquoise__Cy81_Bulk_CD45_F05_S161_comb","blue","malignant"
"277","Tcell__green__Cy72_CD45_G07_S751_comb","turquoise","Tcell"
"278","Tcell__green__Cy72_CD45_G05_S749_comb","turquoise","Tcell"
"279","Bcell__yellowgreen__Cy72_CD45_E09_S729_comb","brown","Bcell"
"280","Tcell__green__Cy71_CD45_D03_S519_comb","turquoise","Tcell"
"281","Tcell__green__Cy81_FNA_CD45_F05_S257_comb","turquoise","Tcell"
"282","Tcell__green__Cy72_CD45_C11_S707_comb","turquoise","Tcell"
"283","Bcell__yellowgreen__Cy81_FNA_CD45_F12_S264_comb","brown","Bcell"
"284","malignant__turquoise__Cy81_Bulk_CD45_D08_S140_comb","blue","malignant"
"285","Endo__pink__Cy80_II_CD45_A04_S868_comb","red","Endo"
"286","Tcell__green__CY58_1_CD45_G06_S1038_comb","turquoise","Tcell"
"287","malignant__turquoise__Cy81_FNA_CD45_B04_S304_comb","blue","malignant"
"288","malignant__turquoise__Cy80_II_CD45_H12_S960_comb","blue","malignant"
"289","malignant__turquoise__Cy81_FNA_CD45_H01_S373_comb","blue","malignant"
"290","Tcell__green__CY58_1_CD45_G07_S1039_comb","turquoise","Tcell"
"291","malignant__turquoise__Cy71_CD45_C07_S511_comb","blue","malignant"
"292","malignant__turquoise__Cy81_Bulk_CD45_A12_S108_comb","blue","malignant"
"293","malignant__turquoise__Cy80_II_CD45_A06_S870_comb","blue","malignant"
"294","Bcell__yellowgreen__Cy74_CD45_B02_S398_comb","brown","Bcell"
"295","Tcell__green__Cy71_CD45_H03_S567_comb","turquoise","Tcell"
"296","Tcell__green__CY58_1_CD45_A02_S962_comb","turquoise","Tcell"
"297","Tcell__green__Cy71_CD45_F12_S552_comb","turquoise","Tcell"
"298","malignant__turquoise__Cy81_Bulk_CD45_E06_S150_comb","blue","malignant"
"299","malignant__turquoise__Cy81_Bulk_CD45_A02_S98_comb","green","CAF"
"300","Tcell__green__Cy74_CD45_A11_S395_comb","turquoise","Tcell"
"301","Tcell__green__Cy81_FNA_CD45_D06_S234_comb","turquoise","Tcell"
"302","malignant__turquoise__Cy71_CD45_C10_S514_comb","blue","malignant"
"303","malignant__turquoise__Cy81_Bulk_CD45_D06_S138_comb","blue","malignant"
"304","Tcell__green__Cy71_CD45_D10_S526_comb","turquoise","Tcell"
"305","malignant__turquoise__Cy71_CD45_C02_S506_comb","blue","malignant"
"306","Tcell__green__Cy72_CD45_A09_S681_comb","turquoise","Tcell"
"307","malignant__turquoise__Cy71_CD45_F08_S548_comb","blue","malignant"
"308","malignant__turquoise__Cy71_CD45_C04_S508_comb","blue","malignant"
"309","malignant__turquoise__Cy81_FNA_CD45_D11_S335_comb","blue","malignant"
"310","Tcell__green__Cy74_CD45_H09_S477_comb","turquoise","Tcell"
"311","malignant__turquoise__Cy71_CD45_H04_S568_comb","blue","malignant"
"312","malignant__turquoise__Cy81_FNA_CD45_C10_S322_comb","blue","malignant"
"313","Tcell__green__CY58_1_CD45_C10_S994_comb","turquoise","Tcell"
"314","Tcell__green__CY58_1_CD45_G04_S1036_comb","turquoise","Tcell"
"315","Tcell__green__Cy71_CD45_E01_S529_comb","turquoise","Tcell"
"316","Macro__yellow__Cy71_CD45_A09_S489_comb","yellow","Macro"
"317","Tcell__green__Cy71_CD45_C06_S510_comb","turquoise","Tcell"
"318","malignant__turquoise__Cy71_CD45_B09_S501_comb","blue","malignant"
"319","Tcell__green__Cy81_FNA_CD45_D04_S232_comb","turquoise","Tcell"
"320","Tcell__green__Cy81_FNA_CD45_G12_S276_comb","turquoise","Tcell"
"321","Tcell__green__Cy74_CD45_H11_S479_comb","turquoise","Tcell"
"322","Tcell__green__Cy74_CD45_D02_S422_comb","turquoise","Tcell"
"323","Tcell__green__Cy81_FNA_CD45_A04_S196_comb","turquoise","Tcell"
"324","malignant__turquoise__Cy81_Bulk_CD45_G06_S174_comb","blue","malignant"
"325","malignant__turquoise__Cy71_CD45_H11_S575_comb","blue","malignant"
"326","Tcell__green__Cy81_FNA_CD45_B05_S209_comb","turquoise","Tcell"
"327","malignant__turquoise__Cy71_CD45_D06_S522_comb","blue","malignant"
"328","malignant__turquoise__Cy80_II_CD45_C08_S896_comb","blue","malignant"
"329","Tcell__green__Cy72_CD45_G02_S746_comb","turquoise","Tcell"
"330","malignant__turquoise__Cy71_CD45_H01_S565_comb","blue","malignant"
"331","Tcell__green__CY58_1_CD45_H01_S1045_comb","turquoise","Tcell"
"332","malignant__turquoise__Cy81_FNA_CD45_E01_S337_comb","blue","malignant"
"333","malignant__turquoise__Cy71_CD45_B10_S502_comb","blue","malignant"
"334","malignant__turquoise__Cy81_Bulk_CD45_D12_S144_comb","blue","malignant"
"335","malignant__turquoise__Cy71_CD45_F05_S545_comb","blue","malignant"
"336","Tcell__green__CY58_1_CD45_B12_S984_comb","turquoise","Tcell"
"337","Tcell__green__Cy74_CD45_C01_S409_comb","turquoise","Tcell"
"338","Tcell__green__CY58_1_CD45_B03_S975_comb","turquoise","Tcell"
"339","malignant__turquoise__Cy81_Bulk_CD45_G03_S171_comb","green","CAF"
"340","Bcell__yellowgreen__Cy72_CD45_A04_S676_comb","brown","Bcell"
"341","Tcell__green__Cy74_CD45_D06_S426_comb","turquoise","Tcell"
"342","Tcell__green__Cy72_CD45_C05_S701_comb","turquoise","Tcell"
"343","malignant__turquoise__Cy81_Bulk_CD45_D11_S143_comb","blue","malignant"
"344","Tcell__green__Cy74_CD45_C04_S412_comb","turquoise","Tcell"
"345","Endo__pink__Cy80_II_CD45_A08_S872_comb","red","Endo"
"346","malignant__turquoise__Cy80_II_CD45_G03_S939_comb","blue","malignant"
