"","DE_fc_tumor_over_normal","DE_ml_normal_vs_tumor","DE_p_normal_vs_tumor","p_adjusted_bonferroni","p_adjusted_BH","p_adjusted_BY","gene_symbol"
"FN3KRP",0.0382320121951221,9.76439649390244,0.685201466923219,1,0.726202025321917,1,"FN3KRP"
"NCLN",0.422528743224932,11.453386322832,9.50628877595248e-09,0.000190601089957847,2.47567447967686e-08,2.5953052684069e-07,"NCLN"
"C9orf156",-0.0782424712059617,7.69231047171409,0.201099612095444,1,0.242865195969496,1,"C9orf156"
"C9orf153",0.230047196815718,0.47063091548103,0.0121698892864777,1,0.0176841774310681,0.185387211570254,"C9orf153"
"C9orf152",-0.467140091463413,10.4818762957317,4.82353197649068e-06,0.0967118161286381,9.86553260518598e-06,0.000103422598391131,"C9orf152"
"C9orf150",0.106738897357724,9.17476700965447,0.131026173492198,1,0.163578793853508,1,"C9orf150"
"NACAD",-2.1766008553523,5.55964591378726,8.75604045966714e-18,1.75558611216326e-13,6.67523236563978e-17,6.99779630504834e-16,"NACAD"
"DNAL4",-0.170793411246612,8.46290573340108,0.00352876052646197,1,0.00544287463269585,0.0570588796123052,"DNAL4"
"KIAA1239",-2.61113235941734,3.48545333248645,2.53070534390196e-17,5.07406421452344e-13,1.78646394383945e-16,1.87279035403341e-15,"KIAA1239"
"FLJ36000",0.0423215277777778,0.0211607638888889,0.353666780269823,1,0.404953275189826,1,"FLJ36000"
"DNAL1",0.114546426151762,7.60440248136856,0.0462028478873443,1,0.0621722886000841,0.65176609234092,"DNAL1"
"LIN7A",-0.178646011178861,3.26922821392276,0.252184440176402,1,0.298747298406905,1,"LIN7A"
"FLJ37201",0.555608070799458,2.53367964515583,1.11630428901946e-05,0.223819009948402,2.20926775239287e-05,0.000231602510110905,"FLJ37201"
"GRHPR",-0.043328590785908,10.6268698509485,0.490957081340503,1,0.54184456504223,1,"GRHPR"
"LIN7B",-0.647574483401083,5.53846397781165,2.42099889600572e-07,0.00485410278649147,5.58008285198115e-07,5.84972642517362e-06,"LIN7B"
"TGM4",-0.609839989837398,0.718697078252033,3.00950733312668e-11,6.03406220291899e-07,9.98355758259265e-11,1.04659880789046e-09,"TGM4"
"IMMP2L",0.846411890243902,6.61198155487805,1.40516368617547e-12,2.81735319078181e-08,5.35079942909842e-12,5.60936345328421e-11,"IMMP2L"
"TGM6",0.093444512195122,0.167002743902439,0.256169583030815,1,0.30267174410264,1,"TGM6"
"SMG5",0.182415006775068,11.255785552168,0.000257662019033303,1,0.000447051183940613,0.00468653816345054,"SMG5"
"OR2D2",0.0892344681571816,0.0577904048102981,0.0187250581778092,1,0.0265796401037221,0.278640348558884,"OR2D2"
"FNBP1",-1.84187770155827,10.1362391980014,7.99220227666991e-22,1.60243655647232e-17,1.67094531436112e-20,1.75168957517682e-19,"FNBP1"
"HNRPLL",0.096011678523034,9.33954242462737,0.0402234604105906,1,0.0545693471298695,0.572062745980081,"HNRPLL"
"MARCH5",0.0273106114498631,9.66889920816396,0.518981831945984,1,0.567804525292861,1,"MARCH5"
"MARCH4",-0.830717852303523,3.29548253726287,7.17850376985406e-09,0.000143929000585574,1.88860609677856e-08,1.97986827151628e-07,"MARCH4"
"MARCH7",-0.0831109417344162,10.275295748645,0.0895379742887785,1,0.115419664865195,1,"MARCH7"
"MARCH6",0.0215252201897016,10.6644991954607,0.871049387454752,1,0.889142664620088,1,"MARCH6"
"MARCH1",-1.1020929200542,5.46851451558266,3.79429401958431e-10,7.60755950926655e-06,1.12355796766678e-09,1.17785110150135e-08,"MARCH1"
"MARCH3",-1.05869037093496,8.49078164380081,2.31488952552148e-13,4.64135349867056e-09,9.64136580529822e-13,1.01072607382513e-11,"MARCH3"
"LRTM1",-0.229644368224932,0.237755864668022,3.14664227691271e-05,0.630901776520999,5.96371846602703e-05,0.000625190027252521,"LRTM1"
"FOXI1",-0.579280199864499,1.84215746104336,0.000207985381665758,1,0.000364424268321109,0.00382034161305632,"FOXI1"
"BTN3A2",-0.380856046747967,10.1991134400407,0.0010713685688745,1,0.00174940465884305,0.0183394027160775,"BTN3A2"
"FOXI3",0.0665517361111111,0.0332758680555556,0.034024757035561,1,0.0466682431634285,0.48923369507428,"FOXI3"
"FOXI2",-1.16314883130081,1.29588899898374,4.16545186557662e-14,8.35173099048113e-10,1.88271663446373e-13,1.97369421563808e-12,"FOXI2"
"MARCH9",0.826869004065041,8.29366133130081,3.94679303482137e-19,7.91332003481684e-15,3.93324922303881e-18,4.12331367241883e-17,"MARCH9"
"CLSTN1",-0.648110848577234,12.8075689659553,3.29285194381949e-13,6.60216814735808e-09,1.34600777723916e-12,1.41105024277724e-11,"CLSTN1"
"CLSTN2",-1.16353444275068,4.28085229081978,3.15903860900318e-07,0.00633387241105138,7.20003684330042e-07,7.547960648922e-06,"CLSTN2"
"CLSTN3",0.417340142276423,9.14710909552845,4.45132179917495e-05,0.892490020734579,8.31538265847926e-05,0.000871720276616798,"CLSTN3"
"EIF3H",0.652250398035232,12.1475105648713,2.34167666446843e-16,4.69506171225920e-12,1.40781460637457e-15,1.4758437326304e-14,"EIF3H"
"EIF3I",0.555482545731707,12.0196681021341,8.42706699058821e-14,1.68962693161294e-09,3.68110442617197e-13,3.85898460772075e-12,"EIF3I"
"EIF3J",0.595595528455284,10.5367855691057,1.88484847103069e-15,3.77912118441653e-11,1.00216442128744e-14,1.05059151505118e-13,"EIF3J"
"EIF3K",-0.289962008807587,12.0427775321816,5.82291591423034e-07,0.0116749464080318,1.29520150965518e-06,1.35778888914969e-05,"EIF3K"
"EIF3L",-0.273666886856368,12.822429971206,1.49008587619741e-05,0.298762218177581,2.91162867340006e-05,0.000305232586018583,"EIF3L"
"EIF3M",0.747584044715447,11.4074871443089,2.19167342771825e-20,4.39430522257509e-16,2.91786535363552e-19,3.05886391242385e-18,"EIF3M"
"PGCP",-1.42430127879404,8.62451765328591,4.96960370431176e-17,9.96405542714508e-13,3.35151544808109e-16,3.51346906507972e-15,"PGCP"
"CLIP2",-0.574310831639565,11.1232640963753,9.90831864124415e-09,0.000198661788756945,2.57635741554416e-08,2.70085345579589e-07,"CLIP2"
"STYK1",-1.88130952743902,8.28468913871951,7.48819360362003e-21,1.50138281752582e-16,1.11714205441691e-19,1.17112515526094e-18,"STYK1"
"EIF3A",0.303614701897018,12.605573204607,2.2563326354667e-07,0.00452394693411074,5.21736667800878e-07,5.4694828976119e-06,"EIF3A"
"EIF3B",1.07326370257453,12.1388855098238,1.0115733081447e-23,2.02820448283011e-19,6.20246019214102e-22,6.50217859653697e-21,"EIF3B"
"BTN3A1",-0.117335374322492,9.5532201177168,0.547810772402594,1,0.595898835666404,1,"BTN3A1"
"EIF3D",0.477145113482385,12.2638798738144,6.04939740179385e-13,1.21290417905967e-08,2.39517173846068e-12,2.51091243319586e-11,"EIF3D"
"CLIP1",-0.151652286585366,10.2802323932927,0.430733054746755,1,0.482657940322553,1,"CLIP1"
"ALMS1P",-0.105242632113821,0.765056732723577,0.174544285899521,1,0.21324800026113,1,"ALMS1P"
"EIF3G",0.440597857384823,11.4219160018631,1.91395243509722e-13,3.83747463236993e-09,8.02651042118788e-13,8.41437149917659e-12,"EIF3G"
"SETD5",0.513970824864499,10.5712878514566,5.17107242089105e-14,1.03680002038866e-09,2.3107089852412e-13,2.4223682282876e-12,"SETD5"
"FGFBP3",0.44076564193767,5.10827794292005,0.000176720076007868,1,0.000312014575903289,0.00327091901342073,"FGFBP3"
"FGFBP2",-2.80075829098916,3.14980865938347,1.26825618884688e-21,2.54285365863799e-17,2.41716127246957e-20,2.53396455653904e-19,"FGFBP2"
"FGFBP1",-1.3773810552168,7.75775337483062,2.97372710213241e-07,0.00596232283977547,6.792347732713e-07,7.12057097985785e-06,"FGFBP1"
"FADD",-0.0414725355691061,9.41725397611789,0.314213810003614,1,0.364519431969559,1,"FADD"
"ARMC10",1.09951775067751,9.4275466802168,4.38274534008865e-23,8.78740440687775e-19,1.67060920282847e-21,1.75133722189345e-20,"ARMC10"
"MKKS",-0.14210964600271,10.1162232257791,0.0789813540746275,1,0.102896435945177,1,"MKKS"
"TMEM104",0.0642925389566393,8.82029504996613,0.219951856518504,1,0.263521644648701,1,"TMEM104"
"NOL11",0.588526795392955,9.89204632452575,1.27403563500652e-16,2.55444144818807e-12,7.98018243272131e-16,8.3658048263248e-15,"NOL11"
"NOL10",0.7188366700542,9.45435735941734,4.26886536504649e-23,8.55907505691821e-19,1.64281670958123e-21,1.72220172579376e-20,"NOL10"
"ELSPBP1",0.0318555470867209,0.0708302125677507,0.457360000965279,1,0.50812146170299,1,"ELSPBP1"
"NOL12",0.116715260840108,8.54486250846884,0.0675946640592494,1,0.0889053407496687,0.932014693899673,"NOL12"
"CDKN2B",-3.50849469004065,9.67662338668699,1.25206104114501e-23,2.51038238749574e-19,6.99270860026668e-22,7.33061378613685e-21,"CDKN2B"
"CDKN2C",-0.6306360348916,7.99156003133469,3.32386957419393e-08,0.000666435849625882,8.24490720804011e-08,8.64332176552773e-07,"CDKN2C"
"CDKN2A",1.66514054031165,5.16939466039973,1.65692319333074e-11,3.32213100262812e-07,5.61930142528438e-11,5.8908401381229e-10,"CDKN2A"
"SLIT1",-1.02647199356369,3.37219814955962,2.05027883245149e-08,0.000411080905906524,5.18219262805725e-08,5.43260914950817e-07,"SLIT1"
"CDKN2D",-0.134758096205962,7.52885265921409,0.0479579050864177,1,0.06437841436681,0.674893405209207,"CDKN2D"
"BARD1",0.57784566395664,6.39647161246612,6.64109912341657e-08,0.00133154037424502,1.60465624432159e-07,1.68219725131772e-06,"BARD1"
"WDR7",-1.1856812245935,8.50505207063008,1.24298468715813e-21,2.49218429775205e-17,2.38034674368288e-20,2.49537105755589e-19,"WDR7"
"ZNF404",-0.609876659891599,4.37643971883469,1.24957095619373e-05,0.250538976716843,2.46133607303306e-05,0.000258027399405775,"ZNF404"
"ZBBX",-0.191286373644986,0.191532422933604,2.00516994143886e-05,0.402036573258492,3.87131991582563e-05,0.000405839178604057,"ZBBX"
"CLRN1OS",0.0650697577913279,0.0701446349932249,0.147691488151706,1,0.182791008484056,1,"CLRN1OS"
"NME6",0.128504657859079,7.7503108655149,0.0245766290511166,1,0.0343580468102296,0.360183136477615,"NME6"
"FABP9",-0.00553708502710027,0.0112119452913279,0.741885647959175,1,0.773923373651481,1,"FABP9"
"NME7",0.418183307926829,6.93119897103658,6.26188020676218e-07,0.0125550698145582,1.38807043258334e-06,1.45514547093187e-05,"NME7"
"EDEM2",0.227307723577237,9.72652947154472,0.00358880049484128,1,0.00553206450063752,0.0579938770687872,"EDEM2"
"EDEM3",-0.468429556233062,10.5636974170054,1.63935691009984e-08,0.000328691060475019,4.17492657735515e-08,4.37666948153705e-07,"EDEM3"
"PCDHGB3",-0.781455555555556,2.79567222222222,1.27925508869326e-05,0.256490645282998,2.51782315974279e-05,0.000263949067821319,"PCDHGB3"
"EDEM1",-0.375946332994578,10.3384707359417,1.07825389241357e-06,0.021618990542892,2.33820414788034e-06,2.45119202601984e-05,"EDEM1"
"TCF4",-0.785887804878049,9.13364390243903,5.86826238336144e-06,0.117658660786397,1.18991364063913e-05,0.00012474132467137,"TCF4"
"ZNF560",0.135955911246612,0.161075516598916,0.0850824706703765,1,0.110136454060369,1,"ZNF560"
"INPP5E",0.512331258468835,7.92156319021003,1.70763871481806e-11,3.42381562321021e-07,5.7815641640459e-11,6.06094381864752e-10,"INPP5E"
"SMG6",-0.52531013719512,9.77656444359756,4.6525862737805e-11,9.3284354789299e-07,1.5165834936861e-10,1.58986860488065e-09,"SMG6"
"NME2",0.765392572831978,12.9458353108062,1.46522160851278e-16,2.93776932506812e-12,9.05321825906971e-16,9.49069243015666e-15,"NME2"
"BRP44L",-1.33870377710027,9.72643591632791,1.31513364392651e-22,2.63684295607265e-18,3.81049774513018e-21,3.99463053578829e-20,"BRP44L"
"TRMT11",0.962429937330623,7.8838930174458,9.31445769828318e-22,1.86754876850578e-17,1.88832029171464e-20,1.97956865563616e-19,"TRMT11"
"SAP30L",-0.762718106368563,9.87835558096206,2.63598113601268e-18,5.28514217770542e-14,2.20492734757933e-17,2.31147495706868e-16,"SAP30L"
"CSTF2T",-0.0771587567750682,9.65724257283198,0.191679856830706,1,0.232314642414051,1,"CSTF2T"
"UBTD2",-0.390437669376693,9.42502994579946,2.18229135249481e-13,4.3754941617521e-09,9.10069750470348e-13,9.54046599180414e-12,"UBTD2"
"LARP4B",0.172764117547425,10.8427162051152,0.00101621298034605,1,0.00166395020464992,0.0174435644425205,"LARP4B"
