p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.10E-36,0.261445699,0.253,0.084,3.58E-32,ifnCAF,MLKL
2.31E-36,0.372499204,0.511,0.271,3.95E-32,ifnCAF,RBP1
2.36E-36,0.349243871,0.406,0.197,4.03E-32,ifnCAF,C5orf56
4.16E-36,0.268119381,0.257,0.086,7.12E-32,ifnCAF,KIAA1755
4.46E-36,0.414633352,0.77,0.627,7.62E-32,ifnCAF,SP100
5.37E-36,0.422667341,0.962,0.869,9.18E-32,ifnCAF,COL5A2
6.72E-36,0.331715598,0.472,0.241,1.15E-31,ifnCAF,ACVRL1
8.16E-36,0.475608384,0.57,0.357,1.40E-31,ifnCAF,SVIL
9.32E-36,0.325352582,0.37,0.161,1.59E-31,ifnCAF,SCG5
9.82E-36,0.35572539,0.337,0.141,1.68E-31,ifnCAF,TNFAIP8
1.06E-35,0.462026589,0.537,0.318,1.81E-31,ifnCAF,ALDH2
1.18E-35,0.294243568,0.445,0.218,2.03E-31,ifnCAF,STARD10
1.69E-35,0.317911081,0.411,0.196,2.89E-31,ifnCAF,NUP62
2.79E-35,0.340009059,0.535,0.296,4.77E-31,ifnCAF,MDFIC
3.15E-35,0.361326363,0.932,0.834,5.39E-31,ifnCAF,PDIA6
4.35E-35,0.455822956,0.365,0.165,7.44E-31,ifnCAF,ITPKC
6.03E-35,0.28326125,0.29,0.114,1.03E-30,ifnCAF,CASP1
6.12E-35,0.47134513,0.675,0.457,1.05E-30,ifnCAF,GALNT1
1.18E-34,0.377822943,0.498,0.282,2.02E-30,ifnCAF,XRN1
1.36E-34,0.431996013,0.722,0.538,2.33E-30,ifnCAF,EIF2AK2
1.50E-34,0.316362831,0.651,0.406,2.56E-30,ifnCAF,CDC42EP5
2.49E-34,0.311867701,0.58,0.34,4.25E-30,ifnCAF,PLOD2
2.54E-34,0.314920705,0.49,0.259,4.34E-30,ifnCAF,KCTD12
2.76E-34,0.332716038,0.571,0.334,4.71E-30,ifnCAF,UBE2Z
6.10E-34,0.365351566,0.68,0.455,1.04E-29,ifnCAF,NECTIN2
1.22E-33,0.435465421,0.332,0.14,2.09E-29,ifnCAF,DIO2
1.56E-33,0.348510998,0.702,0.47,2.66E-29,ifnCAF,GPX8
1.69E-33,0.356679934,0.529,0.297,2.89E-29,ifnCAF,C2
2.26E-33,0.268131489,0.4,0.19,3.87E-29,ifnCAF,ROBO1
2.62E-33,0.468545885,0.711,0.507,4.49E-29,ifnCAF,PLK3
5.18E-33,0.370123271,0.806,0.595,8.86E-29,ifnCAF,FGFR1
5.28E-33,0.276772167,0.343,0.149,9.03E-29,ifnCAF,PANX1
1.00E-32,0.299022766,0.371,0.17,1.72E-28,ifnCAF,ATF5
1.56E-32,0.368733974,0.573,0.357,2.67E-28,ifnCAF,TMEM205
1.78E-32,0.324014696,0.547,0.316,3.04E-28,ifnCAF,NFKB2
2.58E-32,0.289635582,0.48,0.257,4.41E-28,ifnCAF,PAPSS1
2.96E-32,0.473573703,0.973,0.923,5.06E-28,ifnCAF,AEBP1
4.33E-32,0.513477329,0.319,0.143,7.40E-28,ifnCAF,FMO1
1.71E-31,0.822182235,0.414,0.246,2.93E-27,ifnCAF,PMAIP1
2.46E-31,0.457683097,0.802,0.614,4.21E-27,ifnCAF,ISLR
2.52E-31,0.462002569,0.911,0.858,4.30E-27,ifnCAF,SH3BGRL3
2.74E-31,0.388617891,0.448,0.233,4.68E-27,ifnCAF,STEAP1
3.64E-31,0.597186229,0.86,0.78,6.23E-27,ifnCAF,GEM
4.22E-31,0.272544543,0.368,0.173,7.21E-27,ifnCAF,MIIP
4.69E-31,0.331866384,0.289,0.119,8.03E-27,ifnCAF,RHOU
5.06E-31,0.370206839,0.656,0.447,8.66E-27,ifnCAF,SGCB
9.93E-31,0.33021934,0.444,0.231,1.70E-26,ifnCAF,CD68
2.93E-30,0.311580162,0.561,0.337,5.01E-26,ifnCAF,AZI2
4.05E-30,0.28772788,0.25,0.093,6.92E-26,ifnCAF,TSPAN2
4.28E-30,0.668837625,0.645,0.495,7.31E-26,ifnCAF,MAFB
4.57E-30,0.285986243,0.561,0.336,7.82E-26,ifnCAF,C19orf24
6.04E-30,0.334018006,0.952,0.862,1.03E-25,ifnCAF,THY1
7.46E-30,0.3310893,0.526,0.315,1.28E-25,ifnCAF,CNP
7.85E-30,0.272050608,0.45,0.242,1.34E-25,ifnCAF,BNC2
1.87E-29,0.42848806,0.546,0.336,3.19E-25,ifnCAF,SNAI2
2.22E-29,0.758276433,0.811,0.811,3.79E-25,ifnCAF,IER3
2.40E-29,0.489671202,0.463,0.261,4.11E-25,ifnCAF,CD83
2.62E-29,0.31256246,0.992,0.974,4.49E-25,ifnCAF,SERPING1
4.18E-29,0.256892179,0.392,0.197,7.15E-25,ifnCAF,LIMD2
5.53E-29,0.481376266,0.798,0.711,9.46E-25,ifnCAF,BHLHE40
6.08E-29,0.30944453,0.547,0.327,1.04E-24,ifnCAF,KIAA1217
1.17E-28,0.37825032,0.753,0.644,2.01E-24,ifnCAF,RPL22L1
2.28E-28,0.267961611,0.48,0.269,3.91E-24,ifnCAF,NECAP2
2.31E-28,0.365491101,0.824,0.692,3.95E-24,ifnCAF,GSTO1
2.93E-28,0.312299617,0.516,0.302,5.01E-24,ifnCAF,ITGA5
3.43E-28,0.582866906,0.699,0.516,5.87E-24,ifnCAF,SERPINE1
3.77E-28,0.288450624,0.415,0.217,6.44E-24,ifnCAF,PCDH7
3.79E-28,0.332191096,0.72,0.531,6.47E-24,ifnCAF,TMEM123
4.28E-28,0.316003229,0.463,0.266,7.31E-24,ifnCAF,NBN
4.38E-28,0.39967246,0.973,0.941,7.49E-24,ifnCAF,SERPINH1
4.68E-28,0.289848517,0.543,0.329,8.00E-24,ifnCAF,TANK
4.86E-28,0.273133602,0.478,0.269,8.32E-24,ifnCAF,PHF11
8.62E-28,0.551572684,0.525,0.329,1.47E-23,ifnCAF,PTN
1.09E-27,0.258444529,0.511,0.308,1.86E-23,ifnCAF,ARL4C
1.37E-27,0.378510036,0.737,0.556,2.34E-23,ifnCAF,CYB5A
1.92E-27,0.256432976,0.34,0.16,3.28E-23,ifnCAF,FUOM
1.97E-27,0.323736386,0.883,0.81,3.36E-23,ifnCAF,DBI
2.72E-27,0.261282599,0.332,0.157,4.66E-23,ifnCAF,ERAP1
2.93E-27,0.27980812,0.296,0.135,5.02E-23,ifnCAF,SCN1B
3.31E-27,0.309825398,0.483,0.277,5.66E-23,ifnCAF,LACTB
3.35E-27,0.256516339,0.421,0.224,5.73E-23,ifnCAF,CNDP2
4.06E-27,0.263035691,0.356,0.173,6.94E-23,ifnCAF,TSKU
4.16E-27,0.311855666,1,0.999,7.12E-23,ifnCAF,COL6A2
7.36E-27,0.273583967,0.444,0.245,1.26E-22,ifnCAF,NCK1
1.02E-26,0.269207453,0.513,0.304,1.74E-22,ifnCAF,CTSO
1.08E-26,0.294478929,0.343,0.171,1.84E-22,ifnCAF,LPAR1
1.20E-26,0.315532811,0.535,0.327,2.06E-22,ifnCAF,SDF2L1
1.41E-26,0.343074206,0.762,0.613,2.41E-22,ifnCAF,SCARB2
1.44E-26,0.267737954,0.988,0.924,2.47E-22,ifnCAF,ANXA2
2.15E-26,0.28242529,0.499,0.297,3.67E-22,ifnCAF,TRADD
2.54E-26,0.287760266,0.429,0.234,4.34E-22,ifnCAF,AFAP1
2.86E-26,0.317504956,0.989,0.982,4.88E-22,ifnCAF,ATP5E
3.60E-26,0.262596291,0.367,0.187,6.16E-22,ifnCAF,CCDC28B
4.04E-26,0.347883505,0.388,0.201,6.91E-22,ifnCAF,PRDM1
4.31E-26,0.340193719,0.774,0.59,7.38E-22,ifnCAF,UGCG
4.64E-26,0.265287814,0.42,0.228,7.93E-22,ifnCAF,LMO7
5.34E-26,0.320670498,0.481,0.285,9.14E-22,ifnCAF,LY96
5.85E-26,0.253491346,0.426,0.234,1.00E-21,ifnCAF,TWIST2
5.95E-26,0.274502932,0.49,0.288,1.02E-21,ifnCAF,GGCT
7.04E-26,0.268307702,0.386,0.201,1.20E-21,ifnCAF,DTX3L
7.65E-26,0.33453922,0.859,0.74,1.31E-21,ifnCAF,SSR3
7.86E-26,0.306062469,0.638,0.434,1.34E-21,ifnCAF,RBCK1
1.08E-25,0.312122952,0.752,0.554,1.84E-21,ifnCAF,DAB2
1.36E-25,0.464081004,0.409,0.24,2.32E-21,ifnCAF,RGS3
1.37E-25,0.269001481,0.549,0.342,2.35E-21,ifnCAF,ENG
1.42E-25,0.27488036,0.453,0.259,2.43E-21,ifnCAF,BLVRA
1.81E-25,0.297987792,0.389,0.205,3.10E-21,ifnCAF,SLIT2
2.11E-25,0.258237718,0.253,0.104,3.60E-21,ifnCAF,TMEM88
